step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.75,0.0000,-592.5306,458.57,419.89,419.89,0.982677,0.098669,0.031250,1.9981,1.0598,2.5
2,0.00,0.78,0.0000,-626.2767,321.26,321.26,321.26,1.012404,0.062213,0.000000,1.9962,1.0543,4.8
3,0.00,0.78,0.0000,-677.3003,321.11,321.11,321.11,1.010566,0.062420,0.000000,1.9943,1.0500,7.0
4,0.00,0.80,0.0000,-652.4170,360.62,293.92,293.92,1.020091,0.054154,0.000000,1.9924,1.0476,9.2
5,0.00,0.76,0.0000,-689.2511,490.77,402.16,293.92,0.989894,0.076714,0.031250,1.9905,1.0448,11.3
6,0.00,0.78,0.0000,-630.7636,377.86,344.43,293.92,0.983531,0.060003,0.000000,1.9886,1.0414,13.3
7,0.00,0.81,0.0000,-663.9128,329.16,329.16,293.92,0.994509,0.048492,0.000000,1.9867,1.0398,15.5
8,0.00,0.79,0.0000,-708.7390,339.40,333.36,293.92,1.000742,0.054702,0.000000,1.9848,1.0388,17.8
9,0.00,0.79,0.0000,-668.5648,428.30,304.17,293.92,1.004940,0.070897,0.000000,1.9829,1.0384,20.0
10,0.00,0.80,0.0000,-624.1958,353.87,346.98,293.92,1.009355,0.049546,0.000000,1.9810,1.0372,22.1
11,0.00,0.80,0.0000,-639.5900,354.61,354.61,293.92,1.000006,0.040132,0.000000,1.9791,1.0345,24.4
12,0.00,0.79,0.0000,-631.5464,304.40,304.40,293.92,1.011121,0.057299,0.000000,1.9772,1.0298,26.6
13,0.00,0.79,0.0000,-677.9634,285.52,285.52,285.52,1.000396,0.050040,0.000000,1.9753,1.0253,28.8
14,0.00,0.81,0.0000,-630.8016,428.05,340.29,285.52,0.989578,0.050060,0.000000,1.9734,1.0212,30.7
15,0.00,0.81,0.0000,-676.9150,447.52,364.11,285.52,0.989521,0.054962,0.000000,1.9715,1.0165,32.9
16,0.00,0.82,0.0000,-642.6417,349.58,325.64,285.52,1.011614,0.048531,0.000000,1.9696,1.0117,35.1
17,0.00,0.82,0.0000,-610.0521,370.68,343.11,285.52,1.002624,0.059032,0.000000,1.9677,1.0070,37.3
18,0.00,0.83,0.0000,-597.6124,322.08,322.08,285.52,1.004762,0.049860,0.000000,1.9658,1.0028,39.5
19,0.00,0.82,0.0000,-590.7838,407.52,333.02,285.52,0.985225,0.053288,0.000000,1.9639,0.9985,41.7
20,0.00,0.83,0.0000,-628.0894,351.28,287.01,285.52,1.007165,0.065048,0.000000,1.9620,0.9957,43.8
21,0.00,0.85,0.0000,-589.4559,311.21,296.42,285.52,1.007121,0.053529,0.000000,1.9601,0.9940,46.1
22,0.00,0.82,0.0000,-579.5229,394.42,334.86,285.52,0.981639,0.048751,0.000000,1.9582,0.9921,48.0
23,0.00,0.83,0.0000,-604.7000,367.21,306.22,285.52,1.008133,0.076218,0.000000,1.9563,0.9896,50.2
24,0.00,0.84,0.0000,-679.6055,319.39,263.75,263.75,1.001311,0.051997,0.000000,1.9544,0.9875,52.4
25,0.00,0.83,0.0000,-670.9186,381.58,322.80,263.75,1.000065,0.064491,0.031250,1.9525,0.9843,54.6
26,0.00,0.83,0.0000,-652.8317,371.63,264.13,263.75,1.007925,0.070228,0.000000,1.9506,0.9816,56.8
27,0.00,0.84,0.0000,-594.6798,247.87,247.87,247.87,0.993752,0.066729,0.000000,1.9487,0.9782,59.0
28,0.00,0.85,0.0000,-629.8371,294.96,276.76,247.87,1.008432,0.059410,0.000000,1.9468,0.9753,61.2
29,0.00,0.87,0.0000,-607.8828,280.28,263.13,247.87,1.022052,0.064095,0.000000,1.9449,0.9726,63.4
30,0.00,0.86,0.0000,-625.2811,375.75,304.26,247.87,1.005345,0.054547,0.000000,1.9430,0.9694,65.6
31,0.00,0.84,0.0000,-598.7909,283.06,264.55,247.87,0.993629,0.062137,0.031250,1.9411,0.9662,67.5
32,0.00,0.86,0.0000,-664.2605,250.21,250.21,247.87,1.005859,0.044727,0.000000,1.9392,0.9645,69.7
33,0.00,0.85,0.0000,-637.7025,309.00,256.65,247.87,0.999367,0.062088,0.000000,1.9373,0.9642,71.9
34,0.00,0.86,0.0000,-609.0750,333.28,333.28,247.87,0.991786,0.058045,0.000000,1.9354,0.9623,74.0
35,0.00,0.84,0.0000,-613.1489,288.68,241.74,241.74,0.991098,0.059633,0.000000,1.9335,0.9592,76.3
36,0.00,0.87,0.0000,-626.0081,272.56,272.56,241.74,1.010787,0.070577,0.000000,1.9316,0.9565,78.5
37,0.00,0.88,0.0000,-654.1846,403.09,262.67,241.74,1.020101,0.044968,0.000000,1.9297,0.9540,80.7
38,0.00,0.86,0.0000,-624.1798,328.29,249.65,241.74,1.002797,0.055405,0.000000,1.9278,0.9518,82.9
39,0.00,0.87,0.0000,-657.8580,286.67,238.94,238.94,1.008569,0.050376,0.000000,1.9259,0.9491,84.8
40,0.00,0.87,0.0000,-665.8943,346.22,210.32,210.32,0.998915,0.047165,0.000000,1.9240,0.9460,87.1
41,0.00,0.87,0.0000,-634.3424,400.19,261.83,210.32,1.000343,0.054191,0.000000,1.9221,0.9428,89.3
42,0.00,0.88,0.0000,-634.8378,370.87,241.05,210.32,1.015285,0.053775,0.000000,1.9202,0.9393,91.5
43,0.00,0.87,0.0000,-620.7139,308.00,214.72,210.32,0.980300,0.062799,0.031250,1.9183,0.9353,93.8
44,0.00,0.86,0.0000,-656.9474,313.77,307.57,210.32,0.978618,0.065021,0.000000,1.9164,0.9315,96.0
45,0.00,0.88,0.0000,-645.8575,237.83,237.83,210.32,0.994512,0.051188,0.000000,1.9145,0.9274,98.2
46,0.00,0.89,0.0000,-624.2754,246.66,246.66,210.32,1.011501,0.053298,0.000000,1.9126,0.9228,100.5
