step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.00,0.0000,-592.5306,459.85,459.85,459.85,1.004226,0.086982,0.000000,1.9981,1.0632,3.1
2,0.00,0.02,0.0000,-625.9659,583.94,382.70,382.70,1.008023,0.062241,0.000000,1.9962,1.0604,5.9
3,0.00,0.00,0.0000,-680.1268,705.07,520.88,382.70,0.968342,0.061941,0.000000,1.9943,1.0591,8.7
4,0.00,-0.00,0.0000,-653.8059,491.15,491.15,382.70,0.997636,0.033308,0.000000,1.9924,1.0592,11.6
5,0.00,-0.01,0.0000,-700.4942,573.74,415.95,382.70,1.006491,0.052843,0.000000,1.9905,1.0606,14.5
6,0.00,0.02,0.0000,-647.7969,589.57,487.74,382.70,1.010688,0.042810,0.000000,1.9886,1.0629,17.2
7,0.00,0.00,0.0000,-676.2825,413.54,413.54,382.70,0.998321,0.035049,0.000000,1.9867,1.0638,20.0
8,0.00,-0.00,0.0000,-722.6278,854.42,413.03,382.70,1.001040,0.034981,0.000000,1.9848,1.0638,22.9
9,0.00,0.00,0.0000,-684.8149,616.02,450.64,382.70,0.999036,0.042166,0.000000,1.9829,1.0626,25.3
10,0.00,0.00,0.0000,-636.5751,558.24,472.80,382.70,0.993063,0.046627,0.000000,1.9810,1.0601,28.2
11,0.00,0.01,0.0000,-638.9613,566.08,493.52,382.70,0.999331,0.033113,0.000000,1.9791,1.0562,31.0
12,0.00,0.01,0.0000,-629.1086,509.92,373.89,373.89,1.000800,0.034042,0.000000,1.9772,1.0528,33.9
13,0.00,-0.00,0.0000,-673.2271,345.11,345.11,345.11,1.004967,0.035848,0.000000,1.9753,1.0511,36.8
14,0.00,0.02,0.0000,-658.2541,654.91,476.63,345.11,1.004356,0.046289,0.000000,1.9734,1.0498,39.6
15,0.00,0.02,0.0000,-685.1347,578.37,484.56,345.11,0.991491,0.045949,0.000000,1.9715,1.0469,42.4
16,0.00,0.01,0.0000,-638.9362,481.75,462.80,345.11,1.003708,0.040831,0.000000,1.9696,1.0439,45.3
17,0.00,0.01,0.0000,-635.1876,688.40,475.34,345.11,1.003664,0.033708,0.000000,1.9677,1.0416,48.1
18,0.00,0.01,0.0000,-597.6693,554.95,486.52,345.11,0.998049,0.034162,0.000000,1.9658,1.0397,50.6
19,0.00,0.01,0.0000,-605.8080,738.72,504.24,345.11,0.997792,0.041505,0.000000,1.9639,1.0384,53.4
20,0.00,0.01,0.0000,-652.4586,564.93,540.55,345.11,1.001545,0.045917,0.000000,1.9620,1.0370,56.2
21,0.00,-0.00,0.0000,-579.3827,607.22,526.58,345.11,0.999413,0.038208,0.000000,1.9601,1.0360,59.0
22,0.00,0.02,0.0000,-640.8937,590.93,542.13,345.11,1.003609,0.029382,0.000000,1.9582,1.0351,61.8
23,0.00,0.00,0.0000,-625.1306,471.19,471.19,345.11,0.989363,0.040264,0.000000,1.9563,1.0345,64.6
24,0.00,-0.00,0.0000,-695.1328,600.88,554.53,345.11,1.003896,0.036617,0.000000,1.9544,1.0339,67.4
25,0.00,0.02,0.0000,-664.9003,544.36,455.93,345.11,1.000976,0.043857,0.000000,1.9525,1.0324,70.2
26,0.00,0.02,0.0000,-664.5669,673.97,447.76,345.11,0.989592,0.050552,0.000000,1.9506,1.0302,73.0
27,0.00,0.03,0.0000,-611.1365,629.86,493.25,345.11,1.001016,0.042355,0.000000,1.9487,1.0275,75.5
28,0.00,0.03,0.0000,-626.4240,515.53,513.56,345.11,1.006139,0.033398,0.000000,1.9468,1.0257,78.3
29,0.00,-0.01,0.0000,-583.7539,816.79,506.99,345.11,0.995199,0.029899,0.000000,1.9449,1.0244,81.1
30,0.00,0.01,0.0000,-578.2870,732.83,345.83,345.11,0.986110,0.045455,0.000000,1.9430,1.0225,83.9
31,0.00,0.01,0.0000,-609.9800,413.10,413.10,345.11,0.991114,0.041534,0.000000,1.9411,1.0200,86.6
32,0.00,0.01,0.0000,-680.5128,748.50,430.44,345.11,0.993534,0.046881,0.000000,1.9392,1.0170,89.5
33,0.00,0.01,0.0000,-647.7213,724.58,456.37,345.11,0.997887,0.035130,0.000000,1.9373,1.0132,92.2
34,0.00,0.04,0.0000,-605.0510,753.37,515.54,345.11,1.005670,0.026256,0.000000,1.9354,1.0104,95.0
35,0.00,0.03,0.0000,-657.8175,632.10,422.66,345.11,1.006806,0.024403,0.000000,1.9335,1.0090,97.9
36,0.00,0.03,0.0000,-579.2687,775.37,520.21,345.11,1.009724,0.030143,0.000000,1.9316,1.0081,100.3
37,0.00,0.04,0.0000,-559.0004,541.60,426.77,345.11,0.998445,0.036922,0.000000,1.9297,1.0071,103.1
