step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.27,0.0000,-592.5306,421.40,421.40,421.40,1.008505,0.092337,0.000000,1.9981,1.0622,2.8
2,0.00,0.34,0.0000,-627.6521,292.49,292.49,292.49,1.015739,0.067224,0.000000,1.9962,1.0574,5.4
3,0.00,0.26,0.0000,-679.0469,433.66,384.94,292.49,0.977332,0.062902,0.000000,1.9943,1.0559,7.7
4,0.00,0.30,0.0000,-655.3853,397.15,397.15,292.49,0.999056,0.042635,0.000000,1.9924,1.0542,10.2
5,0.00,0.28,0.0000,-697.7661,291.70,291.70,291.70,0.996271,0.052257,0.000000,1.9905,1.0518,12.8
6,0.00,0.31,0.0000,-640.7691,416.93,363.73,291.70,0.998167,0.060707,0.000000,1.9886,1.0494,15.4
7,0.00,0.34,0.0000,-669.4193,372.87,372.87,291.70,1.002099,0.064080,0.000000,1.9867,1.0488,17.9
8,0.00,0.34,0.0000,-710.0123,464.03,332.33,291.70,1.003612,0.060502,0.000000,1.9848,1.0490,20.5
9,0.00,0.32,0.0000,-674.8379,286.44,286.44,286.44,1.014467,0.050791,0.000000,1.9829,1.0501,23.1
10,0.00,0.33,0.0000,-631.2981,349.82,349.82,286.44,1.003421,0.040319,0.000000,1.9810,1.0510,25.7
11,0.00,0.32,0.0000,-638.9459,423.06,387.70,286.44,0.995835,0.050036,0.000000,1.9791,1.0504,28.0
12,0.00,0.34,0.0000,-628.9811,428.61,366.25,286.44,1.007592,0.046676,0.000000,1.9772,1.0492,30.5
13,0.00,0.37,0.0000,-673.6652,254.69,254.69,254.69,1.009117,0.053269,0.000000,1.9753,1.0481,33.2
14,0.00,0.34,0.0000,-652.8162,380.78,380.78,254.69,1.000172,0.055626,0.000000,1.9734,1.0465,35.7
15,0.00,0.32,0.0000,-684.8693,382.55,351.04,254.69,0.986867,0.058048,0.000000,1.9715,1.0434,38.3
16,0.00,0.36,0.0000,-628.0928,367.87,345.51,254.69,0.996417,0.050152,0.000000,1.9696,1.0403,40.8
17,0.00,0.34,0.0000,-612.2378,380.54,380.54,254.69,0.997239,0.050963,0.000000,1.9677,1.0384,43.4
18,0.00,0.36,0.0000,-597.9760,343.20,343.20,254.69,0.991550,0.056165,0.000000,1.9658,1.0359,45.9
19,0.00,0.34,0.0000,-602.6398,362.88,362.88,254.69,0.992671,0.046353,0.000000,1.9639,1.0325,48.3
20,0.00,0.34,0.0000,-634.6332,443.34,443.34,254.69,1.007689,0.043532,0.000000,1.9620,1.0306,50.8
21,0.00,0.40,0.0000,-584.7518,349.48,349.48,254.69,1.002945,0.044061,0.000000,1.9601,1.0300,53.4
22,0.00,0.38,0.0000,-596.0018,474.89,412.22,254.69,1.000740,0.051466,0.000000,1.9582,1.0289,56.0
23,0.00,0.36,0.0000,-607.2995,365.27,365.27,254.69,0.990801,0.056744,0.000000,1.9563,1.0277,58.5
24,0.00,0.36,0.0000,-678.5957,483.68,392.33,254.69,0.994383,0.051641,0.000000,1.9544,1.0263,61.0
25,0.00,0.39,0.0000,-672.1958,332.26,332.26,254.69,1.003731,0.054306,0.000000,1.9525,1.0239,63.3
26,0.00,0.40,0.0000,-674.1423,297.51,297.51,254.69,0.997797,0.055370,0.000000,1.9506,1.0211,65.9
27,0.00,0.38,0.0000,-587.8577,308.52,308.52,254.69,1.000614,0.053535,0.000000,1.9487,1.0169,68.5
28,0.00,0.45,0.0000,-614.0029,356.38,333.47,254.69,1.019630,0.045067,0.000000,1.9468,1.0140,70.8
29,0.00,0.38,0.0000,-572.9025,363.10,329.10,254.69,1.001853,0.052470,0.000000,1.9449,1.0116,73.4
30,0.00,0.41,0.0000,-591.9495,206.12,206.12,206.12,0.987584,0.064531,0.000000,1.9430,1.0090,76.0
31,0.00,0.40,0.0000,-595.9541,322.66,278.44,206.12,0.992073,0.063098,0.031250,1.9411,1.0068,78.6
32,0.00,0.41,0.0000,-665.5070,433.95,329.53,206.12,1.004584,0.047918,0.000000,1.9392,1.0053,81.2
33,0.00,0.45,0.0000,-632.4594,268.83,268.83,206.12,1.002061,0.039397,0.000000,1.9373,1.0049,83.8
34,0.00,0.46,0.0000,-600.4738,318.05,318.05,206.12,0.996902,0.052048,0.000000,1.9354,1.0031,86.3
35,0.00,0.42,0.0000,-626.0219,340.44,287.30,206.12,1.001124,0.047505,0.000000,1.9335,1.0005,88.9
36,0.00,0.45,0.0000,-608.0841,381.11,273.54,206.12,1.009169,0.056949,0.000000,1.9316,0.9985,91.2
37,0.00,0.49,0.0000,-582.4269,270.78,270.78,206.12,1.014523,0.046840,0.000000,1.9297,0.9970,93.8
38,0.00,0.46,0.0000,-600.3115,258.08,258.08,206.12,0.998644,0.060280,0.000000,1.9278,0.9958,96.4
