step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-14161.03,0.0000,-592.5306,458.57,419.89,419.89,1.003712,0.093140,0.031250,1.9981,1.0627,2.8
2,0.00,-12865.88,0.0000,-625.7845,319.27,319.27,319.27,1.006208,0.051675,0.000000,1.9962,1.0590,5.4
3,0.00,-12893.60,0.0000,-677.8431,319.50,319.50,319.27,1.015550,0.065535,0.000000,1.9943,1.0551,8.0
4,0.00,-12144.65,0.0000,-653.4812,359.86,296.89,296.89,1.019835,0.056844,0.000000,1.9924,1.0524,10.7
5,0.00,-13670.91,0.0000,-689.9016,490.88,394.94,296.89,0.986644,0.078159,0.031250,1.9905,1.0491,13.2
6,0.00,-13252.67,0.0000,-629.8912,341.65,341.65,296.89,0.981285,0.064450,0.000000,1.9886,1.0451,15.8
7,0.00,-11892.21,0.0000,-663.8044,494.16,326.60,296.89,0.996366,0.048589,0.000000,1.9867,1.0427,18.4
8,0.00,-12422.68,0.0000,-709.1440,332.40,332.31,296.89,0.997853,0.055408,0.000000,1.9848,1.0412,20.9
9,0.00,-12308.28,0.0000,-667.6553,427.59,304.18,296.89,1.005727,0.072627,0.000000,1.9829,1.0403,23.3
10,0.00,-11978.76,0.0000,-621.5693,347.20,337.75,296.89,1.012599,0.051824,0.000000,1.9810,1.0392,25.9
11,0.00,-12420.58,0.0000,-637.9979,356.76,356.76,296.89,0.998696,0.041407,0.000000,1.9791,1.0371,28.4
12,0.00,-12358.88,0.0000,-629.9532,353.14,302.98,296.89,1.009648,0.056313,0.000000,1.9772,1.0331,31.0
13,0.00,-12323.94,0.0000,-677.0588,279.11,279.11,279.11,0.999448,0.049693,0.000000,1.9753,1.0287,33.6
14,0.00,-11586.47,0.0000,-629.3431,426.63,333.01,279.11,0.989916,0.051115,0.000000,1.9734,1.0247,36.2
15,0.00,-11951.32,0.0000,-673.1516,444.10,354.73,279.11,0.990566,0.054868,0.000000,1.9715,1.0197,38.8
16,0.00,-11080.59,0.0000,-641.3612,346.07,321.32,279.11,1.009995,0.053739,0.000000,1.9696,1.0149,41.4
17,0.00,-11215.82,0.0000,-607.7670,338.37,338.37,279.11,1.002705,0.061091,0.000000,1.9677,1.0104,43.7
18,0.00,-10820.08,0.0000,-595.2361,317.01,317.01,279.11,1.003458,0.048109,0.000000,1.9658,1.0059,46.3
19,0.00,-11159.10,0.0000,-587.2731,399.57,326.63,279.11,0.987454,0.053102,0.000000,1.9639,1.0013,48.9
20,0.00,-10677.42,0.0000,-627.0231,419.90,278.05,278.05,1.006487,0.062170,0.000000,1.9620,0.9983,51.6
21,0.00,-9847.02,0.0000,-589.3086,305.99,291.11,278.05,1.007369,0.051886,0.000000,1.9601,0.9967,54.1
22,0.00,-11588.60,0.0000,-575.6550,389.25,330.14,278.05,0.981801,0.049598,0.000000,1.9582,0.9947,56.7
