step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-9169.74,0.0000,-592.5306,212.26,198.01,198.01,0.994165,0.091699,0.031250,1.9981,1.0639,2.9
2,0.00,-9272.00,0.0000,-627.0275,205.21,205.21,198.01,0.998227,0.055536,0.000000,1.9962,1.0621,5.7
3,0.00,-7707.69,0.0000,-680.1469,208.47,198.72,198.01,1.025946,0.067999,0.000000,1.9943,1.0599,8.5
4,0.00,-7296.20,0.0000,-655.8568,202.33,182.85,182.85,1.015733,0.045767,0.000000,1.9924,1.0578,11.3
5,0.00,-8616.20,0.0000,-692.9432,202.67,201.92,182.85,0.984553,0.059529,0.000000,1.9905,1.0549,14.1
6,0.00,-8549.22,0.0000,-635.2507,234.71,220.81,182.85,0.984581,0.052178,0.000000,1.9886,1.0507,16.6
7,0.00,-7971.76,0.0000,-669.4940,168.43,155.89,155.89,0.996664,0.051521,0.000000,1.9867,1.0475,19.5
8,0.00,-8528.45,0.0000,-716.6594,238.62,199.84,155.89,0.991965,0.047557,0.000000,1.9848,1.0450,22.3
9,0.00,-7975.45,0.0000,-672.4765,142.67,142.67,142.67,0.994702,0.053846,0.000000,1.9829,1.0428,25.1
10,0.00,-7597.94,0.0000,-622.2764,140.73,140.73,140.73,1.009320,0.037589,0.000000,1.9810,1.0404,27.9
11,0.00,-7940.81,0.0000,-630.6635,248.72,197.24,140.73,1.006710,0.032652,0.000000,1.9791,1.0377,30.6
12,0.00,-8682.31,0.0000,-622.2290,295.36,209.85,140.73,1.005496,0.049718,0.000000,1.9772,1.0331,33.4
13,0.00,-8953.02,0.0000,-668.9915,180.75,171.58,140.73,0.992695,0.033854,0.000000,1.9753,1.0285,36.2
14,0.00,-6849.93,0.0000,-623.3834,173.98,173.98,140.73,0.991291,0.046817,0.000000,1.9734,1.0242,39.0
15,0.00,-7620.90,0.0000,-655.4452,187.12,187.12,140.73,0.994810,0.055968,0.031250,1.9715,1.0194,41.4
16,0.00,-7165.42,0.0000,-627.3556,134.86,124.63,124.63,1.009969,0.051684,0.000000,1.9696,1.0148,44.2
17,0.00,-7122.54,0.0000,-606.3508,129.95,129.95,124.63,1.001654,0.053899,0.000000,1.9677,1.0094,47.0
18,0.00,-6756.40,0.0000,-568.7627,145.06,145.06,124.63,1.004439,0.046199,0.000000,1.9658,1.0040,49.7
19,0.00,-6687.51,0.0000,-567.5049,237.79,177.69,124.63,0.996084,0.051260,0.000000,1.9639,0.9990,52.5
20,0.00,-6300.46,0.0000,-615.4891,252.37,196.32,124.63,1.003562,0.049634,0.000000,1.9620,0.9954,55.3
21,0.00,-5769.05,0.0000,-561.4844,106.71,106.71,106.71,1.003478,0.046668,0.000000,1.9601,0.9927,58.1
22,0.00,-7616.10,0.0000,-566.2689,134.95,134.95,106.71,0.980611,0.050912,0.000000,1.9582,0.9897,61.0
23,0.00,-6120.26,0.0000,-578.8225,245.00,188.01,106.71,1.011142,0.076939,0.000000,1.9563,0.9859,63.7
24,0.00,-6065.11,0.0000,-640.7880,148.96,148.96,106.71,1.001648,0.051795,0.000000,1.9544,0.9821,66.2
25,0.00,-6650.45,0.0000,-627.7831,168.38,168.38,106.71,1.000542,0.064060,0.031250,1.9525,0.9777,68.8
26,0.00,-7007.20,0.0000,-613.7415,311.79,128.30,106.71,1.003436,0.049369,0.000000,1.9506,0.9731,71.6
27,0.00,-6132.84,0.0000,-562.1503,367.64,168.40,106.71,0.996009,0.057430,0.000000,1.9487,0.9685,74.4
28,0.00,-6574.95,0.0000,-598.6649,169.88,149.25,106.71,0.998801,0.039967,0.000000,1.9468,0.9643,77.1
29,0.00,-5668.28,0.0000,-551.9646,157.35,156.58,106.71,1.013650,0.054868,0.000000,1.9449,0.9599,79.9
30,0.00,-6138.95,0.0000,-572.9188,222.24,158.99,106.71,0.998046,0.042096,0.000000,1.9430,0.9546,82.7
31,0.00,-6316.12,0.0000,-545.9712,184.31,175.89,106.71,0.995010,0.059338,0.031250,1.9411,0.9494,85.5
32,0.00,-5896.29,0.0000,-612.8389,212.50,172.11,106.71,1.002596,0.051334,0.000000,1.9392,0.9449,88.4
33,0.00,-6614.82,0.0000,-578.9629,155.75,149.62,106.71,0.999546,0.051379,0.000000,1.9373,0.9405,91.2
34,0.00,-5392.73,0.0000,-543.3208,292.02,138.17,106.71,0.990261,0.048297,0.000000,1.9354,0.9357,93.7
35,0.00,-6251.29,0.0000,-554.9086,163.53,163.53,106.71,0.988889,0.052453,0.000000,1.9335,0.9304,96.4
36,0.00,-5664.61,0.0000,-533.4087,238.49,196.00,106.71,1.002895,0.054053,0.000000,1.9316,0.9259,99.2
37,0.00,-5343.16,0.0000,-562.7839,162.88,156.01,106.71,1.006832,0.041759,0.000000,1.9297,0.9217,101.9
38,0.00,-6381.42,0.0000,-542.1572,165.91,161.30,106.71,1.004205,0.043139,0.000000,1.9278,0.9177,104.8
