step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.00,3.0809,-592.5306,1049.11,437.87,437.87,1.008161,0.099889,0.031250,1.9981,1.0701,3.1
2,0.00,0.00,2.9882,-628.5106,920.08,505.13,437.87,0.992587,0.053785,0.000000,1.9962,1.0721,6.0
3,0.00,0.00,3.2602,-689.4568,676.63,356.97,356.97,1.024443,0.058081,0.000000,1.9943,1.0706,8.8
4,0.00,0.00,3.1695,-666.2743,477.60,406.83,356.97,1.007818,0.037610,0.000000,1.9924,1.0697,11.7
5,0.00,0.00,3.2035,-708.2188,777.05,343.61,343.61,0.991743,0.054001,0.000000,1.9905,1.0690,14.5
6,0.00,0.00,3.1350,-657.4338,791.95,510.42,343.61,0.996810,0.059595,0.000000,1.9886,1.0678,17.3
7,0.00,0.00,3.0702,-685.1610,534.31,459.27,343.61,0.997078,0.057351,0.000000,1.9867,1.0668,19.8
8,0.00,0.00,3.1407,-744.9089,834.21,463.41,343.61,0.993323,0.055370,0.000000,1.9848,1.0651,22.7
9,0.00,0.00,3.1979,-695.8250,503.91,403.57,343.61,0.999020,0.052073,0.000000,1.9829,1.0627,25.5
10,0.00,0.00,3.2050,-637.6111,809.36,374.07,343.61,1.005113,0.042576,0.000000,1.9810,1.0619,28.3
11,0.00,0.00,3.3066,-648.1625,718.79,403.92,343.61,1.003194,0.049472,0.000000,1.9791,1.0636,31.2
12,0.00,0.00,3.2221,-647.1401,778.08,414.79,343.61,0.992510,0.047160,0.000000,1.9772,1.0649,33.9
13,0.00,0.00,3.1673,-697.7670,988.04,407.98,343.61,0.992046,0.050099,0.000000,1.9753,1.0661,36.8
14,0.00,0.00,3.2276,-663.5680,514.57,429.08,343.61,1.000455,0.051179,0.000000,1.9734,1.0663,39.5
15,0.00,0.00,3.3861,-689.9586,561.78,362.88,343.61,1.008790,0.060821,0.000000,1.9715,1.0670,42.4
16,0.00,0.00,3.3136,-667.2862,787.49,414.72,343.61,1.007034,0.038933,0.000000,1.9696,1.0676,44.9
17,0.00,0.00,3.3198,-664.8508,521.34,331.09,331.09,1.003061,0.046938,0.000000,1.9677,1.0667,47.9
18,0.00,0.00,3.3746,-607.3728,529.61,235.85,235.85,1.014158,0.050975,0.000000,1.9658,1.0663,50.7
19,0.00,0.00,3.3911,-606.9687,704.61,237.98,235.85,1.007165,0.044381,0.000000,1.9639,1.0664,53.5
20,0.00,0.00,3.4051,-674.1370,669.05,372.76,235.85,1.004384,0.043712,0.000000,1.9620,1.0659,56.3
21,0.00,0.00,3.3855,-603.2725,551.25,368.59,235.85,1.005379,0.046638,0.000000,1.9601,1.0650,59.1
22,0.00,0.00,3.2326,-636.8575,797.13,373.10,235.85,0.984582,0.057334,0.000000,1.9582,1.0640,61.9
23,0.00,0.00,3.4827,-635.7161,569.55,318.67,235.85,1.025159,0.063578,0.000000,1.9563,1.0629,64.7
24,0.00,0.00,3.4704,-695.7360,472.00,390.91,235.85,1.002188,0.036868,0.000000,1.9544,1.0630,67.6
25,0.00,0.00,3.4045,-675.6402,671.40,248.80,235.85,0.996169,0.052215,0.000000,1.9525,1.0629,70.1
26,0.00,0.00,3.3847,-651.9165,707.01,271.85,235.85,1.010790,0.074774,0.000000,1.9506,1.0629,72.9
27,0.00,0.00,3.4634,-626.0582,532.49,254.68,235.85,0.997134,0.048568,0.000000,1.9487,1.0630,75.7
28,0.00,0.00,3.3148,-653.0793,707.27,338.19,235.85,0.991049,0.043110,0.000000,1.9468,1.0632,78.5
29,0.00,0.00,3.6583,-602.5036,457.96,256.61,235.85,1.020923,0.049695,0.000000,1.9449,1.0636,81.3
30,0.00,0.00,3.5647,-591.3159,522.39,284.56,235.85,1.003453,0.047878,0.000000,1.9430,1.0640,84.1
31,0.00,0.00,3.5465,-603.4457,686.85,360.91,235.85,1.004504,0.041657,0.000000,1.9411,1.0639,86.9
32,0.00,0.00,3.5117,-683.1633,652.93,365.19,235.85,1.008377,0.059749,0.000000,1.9392,1.0639,89.7
33,0.00,0.00,3.3543,-649.5214,789.68,262.07,235.85,0.997997,0.037653,0.000000,1.9373,1.0633,92.6
34,0.00,0.00,3.4187,-592.3013,556.16,341.20,235.85,0.989065,0.039055,0.000000,1.9354,1.0616,95.1
35,0.00,0.00,3.5087,-632.8922,539.71,336.61,235.85,0.993944,0.042050,0.000000,1.9335,1.0601,97.9
36,0.00,0.00,3.6241,-568.6382,270.48,202.32,202.32,1.003056,0.053721,0.000000,1.9316,1.0592,100.8
37,0.00,0.00,3.6119,-612.4516,649.99,297.93,202.32,1.004477,0.037338,0.000000,1.9297,1.0584,103.7
38,0.00,0.00,3.5232,-603.6188,429.85,244.31,202.32,1.003525,0.047615,0.000000,1.9278,1.0575,106.5
39,0.00,0.00,3.5825,-608.1158,732.34,264.85,202.32,0.994789,0.048111,0.000000,1.9259,1.0570,109.3
40,0.00,0.00,3.6581,-645.8524,467.39,303.98,202.32,0.997114,0.046935,0.000000,1.9240,1.0570,112.1
41,0.00,0.00,3.6113,-587.8386,609.37,261.05,202.32,0.997079,0.059162,0.000000,1.9221,1.0570,114.9
42,0.00,0.00,3.7597,-553.3472,429.06,261.71,202.32,1.019248,0.048069,0.000000,1.9202,1.0563,117.8
43,0.00,0.00,3.5123,-613.8348,318.19,318.19,202.32,0.980883,0.063934,0.031250,1.9183,1.0542,120.2
44,0.00,0.00,3.5537,-633.5038,691.58,322.12,202.32,0.982033,0.049982,0.000000,1.9164,1.0517,123.1
45,0.00,0.00,3.6684,-587.8970,538.58,327.42,202.32,0.995721,0.041340,0.000000,1.9145,1.0493,125.8
46,0.00,0.00,3.6838,-541.1674,512.33,349.15,202.32,1.005148,0.047867,0.000000,1.9126,1.0480,128.6
47,0.00,0.00,3.7012,-631.6235,446.84,207.99,202.32,1.002115,0.055833,0.000000,1.9107,1.0477,131.5
48,0.00,0.00,3.8517,-652.3585,363.37,221.93,202.32,1.014962,0.046286,0.000000,1.9088,1.0481,134.2
49,0.00,0.00,3.7880,-550.5977,446.98,283.96,202.32,1.001833,0.065725,0.000000,1.9069,1.0477,137.0
50,0.00,0.00,3.6576,-614.1370,480.46,334.26,202.32,0.988156,0.053612,0.000000,1.9050,1.0462,139.8
51,0.00,0.00,3.8529,-591.2019,337.04,192.53,192.53,1.006491,0.059819,0.000000,1.9031,1.0431,142.7
52,0.00,0.00,3.8124,-618.3191,502.60,271.58,192.53,0.996313,0.051056,0.000000,1.9012,1.0394,145.2
53,0.00,0.00,3.7913,-537.1966,566.60,293.94,192.53,1.002741,0.036060,0.000000,1.8993,1.0367,147.9
54,0.00,0.00,3.7659,-607.4083,660.12,319.57,192.53,0.994323,0.052968,0.000000,1.8974,1.0340,150.8
55,0.00,0.00,3.6952,-634.0881,578.41,264.89,192.53,0.979953,0.058790,0.000000,1.8955,1.0307,153.6
56,0.00,0.00,3.8034,-652.4704,721.07,290.30,192.53,0.995164,0.047361,0.000000,1.8936,1.0263,156.5
57,0.00,0.00,3.7014,-523.7183,320.53,280.92,192.53,0.994780,0.050296,0.000000,1.8917,1.0216,159.3
58,0.00,0.00,3.7819,-576.6345,534.64,209.63,192.53,0.994881,0.071259,0.031250,1.8898,1.0171,162.2
59,0.00,0.00,3.9027,-600.1869,459.07,293.19,192.53,0.995591,0.035614,0.000000,1.8879,1.0133,165.0
60,0.00,0.00,3.9529,-520.5192,474.23,244.15,192.53,1.012146,0.044703,0.000000,1.8860,1.0082,167.9
61,0.00,0.00,3.8279,-527.0077,354.74,266.24,192.53,0.994368,0.051282,0.000000,1.8841,1.0022,170.2
62,0.00,0.00,3.8982,-570.5317,316.80,244.29,192.53,0.994258,0.055435,0.000000,1.8822,0.9955,173.0
63,0.00,0.00,3.9285,-563.8252,473.92,240.98,192.53,0.992290,0.059496,0.000000,1.8803,0.9895,175.8
64,0.00,0.00,3.8740,-595.4073,434.04,284.86,192.53,0.996471,0.054745,0.000000,1.8784,0.9854,178.7
65,0.00,0.00,3.8546,-518.8890,313.06,206.85,192.53,0.988241,0.055228,0.000000,1.8765,0.9820,181.4
66,0.00,0.00,4.0117,-549.2737,448.42,195.94,192.53,1.003510,0.059689,0.000000,1.8746,0.9780,184.4
67,0.00,0.00,4.0543,-535.8076,437.77,210.28,192.53,0.998241,0.059767,0.000000,1.8727,0.9744,187.1
68,0.00,0.00,3.9331,-583.2516,459.20,213.17,192.53,0.982418,0.068764,0.000000,1.8708,0.9695,189.9
69,0.00,0.00,4.0856,-523.2355,625.39,185.33,185.33,1.007524,0.051692,0.000000,1.8689,0.9639,192.8
70,0.00,0.00,3.9250,-501.9419,414.25,206.41,185.33,0.986686,0.056964,0.000000,1.8670,0.9580,195.3
71,0.00,0.00,4.0433,-509.4898,399.37,206.49,185.33,1.004588,0.058588,0.000000,1.8651,0.9517,198.2
72,0.00,0.00,4.0249,-538.1995,296.58,239.25,185.33,0.998554,0.050925,0.000000,1.8632,0.9460,201.1
73,0.00,0.00,4.0891,-465.3534,367.92,236.98,185.33,1.009510,0.052842,0.000000,1.8613,0.9411,203.8
74,0.00,0.00,4.1463,-549.5714,292.98,199.63,185.33,1.007179,0.081176,0.062500,1.8594,0.9362,206.7
75,0.00,0.00,4.0854,-570.3569,439.72,248.62,185.33,1.010722,0.062712,0.000000,1.8575,0.9324,209.4
76,0.00,0.00,4.1848,-551.8091,294.46,197.21,185.33,1.010389,0.066175,0.000000,1.8556,0.9297,212.3
77,0.00,0.00,4.1285,-534.7748,450.16,166.86,166.86,0.999829,0.048244,0.000000,1.8537,0.9264,215.1
78,0.00,0.00,4.1410,-473.0305,468.50,216.55,166.86,1.001230,0.059054,0.000000,1.8518,0.9252,218.0
79,0.00,0.00,4.1415,-500.7010,426.85,188.63,166.86,0.996616,0.049184,0.000000,1.8499,0.9247,220.5
80,0.00,0.00,4.2771,-580.5521,153.92,153.92,153.92,1.008577,0.044350,0.000000,1.8480,0.9234,223.3
81,0.00,0.00,4.2948,-596.5986,303.01,199.56,153.92,1.024014,0.053845,0.000000,1.8461,0.9223,226.2
82,0.00,0.00,4.3064,-514.2111,474.14,174.31,153.92,1.002861,0.054979,0.000000,1.8442,0.9206,229.0
83,0.00,0.00,4.1699,-503.7338,331.81,161.48,153.92,0.997504,0.051238,0.000000,1.8423,0.9172,231.9
84,0.00,0.00,4.2723,-606.0509,388.91,168.96,153.92,0.993760,0.068632,0.000000,1.8404,0.9127,234.7
85,0.00,0.00,4.2131,-530.7273,513.01,174.52,153.92,0.984444,0.057507,0.000000,1.8385,0.9085,237.6
86,0.00,0.00,4.1069,-534.4757,269.79,187.51,153.92,0.974776,0.073996,0.031250,1.8366,0.9037,240.3
87,0.00,0.00,4.3247,-563.8829,331.47,160.55,153.92,1.008196,0.056819,0.000000,1.8347,0.8978,243.2
88,0.00,0.00,4.3067,-578.8523,457.57,202.78,153.92,1.005069,0.051699,0.000000,1.8328,0.8925,245.7
89,0.00,0.00,4.4031,-597.2989,247.59,146.95,146.95,1.009813,0.060803,0.000000,1.8309,0.8900,248.7
90,0.00,0.00,4.3000,-545.2438,296.53,210.52,146.95,1.008459,0.048304,0.000000,1.8290,0.8875,251.5
91,0.00,0.00,4.3941,-592.5497,303.22,198.39,146.95,1.013302,0.030505,0.000000,1.8271,0.8842,254.3
92,0.00,0.00,4.3510,-562.6179,259.00,186.28,146.95,0.997482,0.049984,0.000000,1.8252,0.8809,257.2
93,0.00,0.00,4.4633,-608.6991,561.63,120.10,120.10,1.009466,0.046775,0.000000,1.8233,0.8768,260.1
94,0.00,0.00,4.4763,-629.2039,210.14,124.91,120.10,1.015185,0.052142,0.000000,1.8214,0.8717,263.0
95,0.00,0.00,4.4328,-576.1987,380.84,172.24,120.10,0.997915,0.051224,0.000000,1.8195,0.8668,265.8
96,0.00,0.00,4.4281,-617.1382,341.52,144.11,120.10,0.995035,0.070718,0.000000,1.8176,0.8623,268.7
97,0.00,0.00,4.3081,-597.2573,265.91,168.75,120.10,0.981334,0.065460,0.031250,1.8157,0.8577,271.2
98,0.00,0.00,4.3979,-550.2274,430.71,176.86,120.10,0.983220,0.060903,0.000000,1.8138,0.8529,273.9
99,0.00,0.00,4.6176,-624.6442,316.86,110.62,110.62,0.997524,0.061277,0.000000,1.8119,0.8481,276.3
100,0.00,0.00,4.4555,-563.3314,255.45,151.61,110.62,0.997031,0.056527,0.000000,1.8100,0.8437,278.9
101,0.00,0.00,4.4783,-566.1193,336.78,124.37,110.62,0.997661,0.052946,0.000000,1.8081,0.8395,283.7
102,0.00,0.00,4.5519,-664.9844,376.73,152.03,110.62,1.011163,0.059016,0.000000,1.8062,0.8347,286.6
103,0.00,0.00,4.5462,-547.0077,183.60,110.21,110.21,0.998740,0.052302,0.000000,1.8043,0.8314,289.5
104,0.00,0.00,4.5769,-601.8209,217.07,148.74,110.21,1.000697,0.056701,0.000000,1.8024,0.8283,292.4
105,0.00,0.00,4.4971,-579.9720,230.97,163.26,110.21,0.996524,0.053067,0.000000,1.8005,0.8245,295.2
106,0.00,0.00,4.4858,-558.9404,377.05,160.10,110.21,0.991207,0.067610,0.000000,1.7986,0.8204,297.7
107,0.00,0.00,4.4705,-593.1671,230.09,147.22,110.21,0.996701,0.070465,0.000000,1.7967,0.8172,300.6
108,0.00,0.00,4.7699,-578.1117,227.75,127.54,110.21,1.017428,0.057464,0.000000,1.7948,0.8128,303.5
109,0.00,0.00,4.6032,-618.4301,387.91,179.75,110.21,1.005242,0.053460,0.000000,1.7929,0.8067,306.3
110,0.00,0.00,4.5397,-655.5029,283.06,184.32,110.21,0.995288,0.061949,0.000000,1.7910,0.8001,309.1
111,0.00,0.00,4.5893,-541.9125,210.51,140.31,110.21,0.992983,0.075041,0.031250,1.7891,0.7933,311.9
112,0.00,0.00,4.7099,-645.4686,248.17,138.72,110.21,1.003669,0.053946,0.000000,1.7872,0.7871,314.8
113,0.00,0.00,4.8452,-657.9080,337.43,147.04,110.21,1.006855,0.045001,0.000000,1.7853,0.7817,317.6
114,0.00,0.00,4.6904,-626.0312,201.85,145.24,110.21,1.013415,0.059166,0.000000,1.7834,0.7759,320.4
115,0.00,0.00,4.7082,-629.9265,199.04,139.43,110.21,1.002327,0.060274,0.000000,1.7815,0.7708,322.9
116,0.00,0.00,4.8582,-596.9752,183.64,129.69,110.21,1.008853,0.064098,0.000000,1.7796,0.7657,325.8
117,0.00,0.00,4.6280,-616.4073,254.49,152.36,110.21,0.994160,0.065044,0.031250,1.7777,0.7600,328.6
118,0.00,0.00,4.8101,-601.1221,187.02,149.47,110.21,0.987592,0.055499,0.000000,1.7758,0.7540,331.4
119,0.00,0.00,4.8548,-644.8518,169.06,106.78,106.78,0.997627,0.072364,0.031250,1.7739,0.7475,334.4
120,0.00,0.00,4.8954,-666.0300,161.78,147.76,106.78,1.018791,0.066318,0.000000,1.7720,0.7411,337.4
121,0.00,0.00,4.8297,-685.9091,261.19,132.91,106.78,0.999418,0.051310,0.000000,1.7701,0.7355,340.2
122,0.00,0.00,4.8724,-679.9762,234.06,128.50,106.78,0.989179,0.075182,0.031250,1.7682,0.7293,343.1
123,0.00,0.00,4.8993,-625.6885,184.90,141.80,106.78,0.990356,0.067461,0.000000,1.7663,0.7225,345.8
124,0.00,0.00,4.9313,-684.8914,368.51,128.11,106.78,0.992751,0.064161,0.000000,1.7644,0.7163,348.5
125,0.00,0.00,4.9593,-689.3273,228.07,128.49,106.78,1.011320,0.042509,0.000000,1.7625,0.7109,351.5
126,0.00,0.00,4.7220,-682.4203,200.38,143.73,106.78,0.982019,0.058589,0.000000,1.7606,0.7054,354.2
127,0.00,0.00,5.0100,-708.1324,208.09,82.74,82.74,0.999866,0.063118,0.000000,1.7587,0.6997,357.1
128,0.00,0.00,4.8919,-718.0846,189.11,154.24,82.74,0.991423,0.057966,0.000000,1.7568,0.6939,360.1
129,0.00,0.00,5.1120,-728.5771,196.52,122.44,82.74,1.011520,0.039916,0.000000,1.7549,0.6878,362.9
130,0.00,0.00,5.0007,-706.3174,172.48,100.89,82.74,0.990659,0.069433,0.000000,1.7530,0.6805,365.8
131,0.00,0.00,4.9154,-665.4407,139.11,136.31,82.74,0.981191,0.069525,0.000000,1.7511,0.6720,368.6
132,0.00,0.00,5.0252,-742.8520,154.62,136.97,82.74,1.002941,0.069661,0.000000,1.7492,0.6634,371.2
133,0.00,0.00,4.9486,-763.8536,256.24,125.97,82.74,0.990670,0.069363,0.000000,1.7473,0.6567,374.0
134,0.00,0.00,4.9521,-749.2576,156.96,116.16,82.74,0.987280,0.067865,0.000000,1.7454,0.6505,376.9
135,0.00,0.00,5.1015,-753.6982,237.37,135.66,82.74,1.017325,0.063397,0.000000,1.7435,0.6440,379.7
136,0.00,0.00,5.0567,-761.7426,202.41,123.60,82.74,1.002790,0.059075,0.000000,1.7416,0.6376,382.6
137,0.00,0.00,4.8459,-715.6931,252.12,136.49,82.74,0.978932,0.063811,0.000000,1.7397,0.6312,385.6
138,0.00,0.00,5.0136,-742.4102,180.26,128.08,82.74,0.995368,0.056315,0.000000,1.7378,0.6241,388.5
139,0.00,0.00,5.1484,-754.4943,206.41,136.74,82.74,1.008921,0.057665,0.000000,1.7359,0.6170,391.3
140,0.00,0.00,5.0093,-728.0567,160.59,123.22,82.74,1.000767,0.042273,0.000000,1.7340,0.6112,394.2
141,0.00,0.00,4.9987,-735.7234,200.13,126.15,82.74,0.989091,0.053595,0.000000,1.7321,0.6041,396.8
142,0.00,0.00,5.0846,-730.4926,198.81,112.14,82.74,0.991417,0.089615,0.031250,1.7302,0.5955,399.6
143,0.00,0.00,5.0302,-716.3040,216.46,115.85,82.74,0.993666,0.057462,0.000000,1.7283,0.5869,402.5
