step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-24510.44,0.0000,-592.5306,421.40,421.40,421.40,1.005344,0.092815,0.000000,1.9981,1.0666,2.6
2,0.00,-21672.33,0.0000,-628.2446,290.45,290.45,290.45,1.010888,0.071439,0.000000,1.9962,1.0643,5.1
3,0.00,-24586.43,0.0000,-682.6121,430.15,382.61,290.45,0.976183,0.059881,0.000000,1.9943,1.0625,7.6
4,0.00,-22838.54,0.0000,-658.1999,393.56,393.56,290.45,1.001646,0.048869,0.000000,1.9924,1.0613,10.2
5,0.00,-24221.17,0.0000,-701.2065,288.47,288.47,288.47,0.997387,0.059661,0.000000,1.9905,1.0590,12.8
6,0.00,-23085.49,0.0000,-642.2676,410.88,357.42,288.47,0.998128,0.064155,0.000000,1.9886,1.0565,15.4
7,0.00,-21227.36,0.0000,-672.0961,370.06,370.06,288.47,1.004251,0.065051,0.000000,1.9867,1.0564,18.0
8,0.00,-22049.55,0.0000,-711.2409,460.69,327.28,288.47,1.008899,0.064885,0.000000,1.9848,1.0573,20.6
9,0.00,-22372.12,0.0000,-673.7693,281.04,281.04,281.04,1.011474,0.058063,0.000000,1.9829,1.0586,23.2
10,0.00,-21831.29,0.0000,-631.5210,348.80,348.80,281.04,1.003072,0.043020,0.000000,1.9810,1.0592,25.4
11,0.00,-22453.85,0.0000,-641.0924,414.65,384.69,281.04,0.995800,0.049731,0.000000,1.9791,1.0580,28.0
12,0.00,-21656.92,0.0000,-628.9253,427.43,362.70,281.04,1.009096,0.050990,0.000000,1.9772,1.0554,30.6
13,0.00,-20641.47,0.0000,-671.8784,250.20,250.20,250.20,1.008877,0.054011,0.000000,1.9753,1.0529,33.2
14,0.00,-21403.35,0.0000,-647.1683,378.59,378.59,250.20,0.998597,0.054963,0.000000,1.9734,1.0507,35.8
15,0.00,-22164.25,0.0000,-681.7658,378.51,344.03,250.20,0.985579,0.055797,0.000000,1.9715,1.0473,38.3
16,0.00,-20713.39,0.0000,-627.3740,343.20,341.21,250.20,0.999541,0.049718,0.000000,1.9696,1.0436,40.8
17,0.00,-21072.41,0.0000,-608.0284,377.86,377.86,250.20,0.998847,0.051039,0.000000,1.9677,1.0409,43.4
18,0.00,-20419.09,0.0000,-595.9808,342.06,342.06,250.20,0.993467,0.056474,0.000000,1.9658,1.0381,45.6
19,0.00,-20905.13,0.0000,-597.0826,359.64,359.64,250.20,0.988881,0.046357,0.000000,1.9639,1.0348,48.2
20,0.00,-20658.23,0.0000,-628.3406,443.94,443.94,250.20,1.010791,0.053480,0.000000,1.9620,1.0335,50.8
21,0.00,-18851.99,0.0000,-576.6307,347.26,347.26,250.20,1.001767,0.044863,0.000000,1.9601,1.0335,53.3
22,0.00,-19545.91,0.0000,-589.4733,469.29,401.56,250.20,1.004657,0.049408,0.000000,1.9582,1.0332,55.8
23,0.00,-20324.24,0.0000,-600.3484,358.80,358.80,250.20,0.991380,0.057600,0.000000,1.9563,1.0325,58.4
24,0.00,-20274.46,0.0000,-670.2965,394.29,394.29,250.20,0.994675,0.052108,0.000000,1.9544,1.0312,60.9
25,0.00,-19226.64,0.0000,-658.3318,329.05,329.05,250.20,1.001260,0.058823,0.000000,1.9525,1.0287,63.5
26,0.00,-18819.57,0.0000,-662.1848,294.50,294.50,250.20,0.999972,0.053038,0.000000,1.9506,1.0258,66.1
27,0.00,-19229.83,0.0000,-579.3433,300.79,300.79,250.20,0.999446,0.052580,0.000000,1.9487,1.0217,68.5
28,0.00,-16678.79,0.0000,-606.2238,360.04,324.11,250.20,1.022121,0.050804,0.000000,1.9468,1.0186,71.0
29,0.00,-18892.67,0.0000,-567.1717,344.28,321.19,250.20,1.006191,0.057652,0.000000,1.9449,1.0164,73.6
30,0.00,-18066.50,0.0000,-583.6895,202.54,202.54,202.54,0.990618,0.063640,0.000000,1.9430,1.0140,76.2
31,0.00,-19025.89,0.0000,-582.9333,320.43,270.20,202.54,0.991493,0.065975,0.031250,1.9411,1.0117,78.5
32,0.00,-18061.51,0.0000,-650.4966,317.32,317.32,202.54,1.003580,0.046035,0.000000,1.9392,1.0107,81.1
33,0.00,-16994.79,0.0000,-617.0506,263.24,263.24,202.54,1.003303,0.046252,0.000000,1.9373,1.0110,83.7
34,0.00,-16789.38,0.0000,-585.2039,312.21,312.21,202.54,0.997921,0.055071,0.000000,1.9354,1.0093,86.3
35,0.00,-18269.10,0.0000,-606.2877,328.96,283.35,202.54,1.000160,0.048910,0.000000,1.9335,1.0064,88.7
36,0.00,-16628.96,0.0000,-592.2711,382.70,257.79,202.54,1.009182,0.059023,0.000000,1.9316,1.0046,91.3
37,0.00,-15236.53,0.0000,-570.7313,265.36,265.36,202.54,1.018040,0.048890,0.000000,1.9297,1.0035,93.8
38,0.00,-16374.59,0.0000,-582.5504,246.37,246.37,202.54,0.999624,0.059143,0.000000,1.9278,1.0024,96.4
39,0.00,-16358.14,0.0000,-586.5552,230.26,230.26,202.54,1.008661,0.069084,0.031250,1.9259,1.0002,99.0
40,0.00,-16477.99,0.0000,-590.1833,370.13,311.69,202.54,0.998278,0.061063,0.000000,1.9240,0.9972,101.6
41,0.00,-15933.72,0.0000,-554.5153,226.81,226.81,202.54,0.999924,0.060434,0.000000,1.9221,0.9942,104.1
42,0.00,-15298.19,0.0000,-553.2256,383.23,313.82,202.54,1.007411,0.061895,0.000000,1.9202,0.9911,106.6
43,0.00,-15338.37,0.0000,-557.5392,248.55,248.55,202.54,0.998359,0.043508,0.000000,1.9183,0.9878,109.1
44,0.00,-15784.51,0.0000,-623.8202,312.69,303.93,202.54,0.998678,0.055547,0.000000,1.9164,0.9849,111.5
45,0.00,-15565.03,0.0000,-567.7558,321.57,273.54,202.54,0.996988,0.053487,0.000000,1.9145,0.9817,114.1
46,0.00,-14581.24,0.0000,-521.9469,242.37,242.37,202.54,1.005937,0.054102,0.000000,1.9126,0.9785,116.6
47,0.00,-16944.00,0.0000,-587.2291,219.14,219.14,202.54,0.988878,0.074351,0.000000,1.9107,0.9743,119.2
