step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,-1645436.00,-25830886.00,0.0000,-592.5306,819.84,437.87,437.87,1.007160,0.087837,0.000000,1.9981,1.0703,2.3
2,-1643285.00,-25674976.00,0.0000,-630.7349,600.13,512.41,437.87,0.985491,0.066457,0.000000,1.9962,1.0737,5.0
3,-1657564.62,-26354890.00,0.0000,-698.4359,948.99,361.49,361.49,0.996622,0.050936,0.000000,1.9943,1.0756,7.8
4,-1594055.62,-25464040.00,0.0000,-676.8274,895.95,433.80,361.49,1.002717,0.044689,0.000000,1.9924,1.0766,10.6
5,-1622227.62,-25725066.00,0.0000,-728.3628,912.13,364.44,361.49,1.006106,0.056915,0.000000,1.9905,1.0783,13.4
6,-1634749.12,-25840260.00,0.0000,-675.0005,772.57,553.50,361.49,1.018549,0.059978,0.000000,1.9886,1.0803,16.1
7,-1610643.50,-25338716.00,0.0000,-698.0385,780.36,493.02,361.49,1.001716,0.043878,0.000000,1.9867,1.0834,18.9
8,-1555058.25,-24662144.00,0.0000,-764.2246,876.01,510.94,361.49,1.023766,0.061417,0.000000,1.9848,1.0868,21.3
9,-1620107.50,-25591050.00,0.0000,-721.4681,818.07,452.59,361.49,1.005503,0.064633,0.000000,1.9829,1.0908,24.1
10,-1600558.62,-25210790.00,0.0000,-669.5316,547.74,404.62,361.49,0.989308,0.032957,0.000000,1.9810,1.0937,26.9
11,-1591348.50,-25264748.00,0.0000,-690.2934,604.78,459.99,361.49,1.007384,0.039332,0.000000,1.9791,1.0954,29.7
12,-1581889.12,-24971336.00,0.0000,-684.6871,872.83,471.06,361.49,1.005791,0.044285,0.000000,1.9772,1.0961,32.4
13,-1615356.88,-25291484.00,0.0000,-732.9762,405.37,405.37,361.49,1.005277,0.051573,0.000000,1.9753,1.0972,35.2
14,-1577921.62,-24957758.00,0.0000,-718.8464,602.74,491.29,361.49,1.007864,0.054847,0.000000,1.9734,1.0983,37.9
15,-1603248.62,-25637328.00,0.0000,-752.6062,744.81,448.46,361.49,1.006367,0.042509,0.000000,1.9715,1.0992,40.6
16,-1613277.25,-25588022.00,0.0000,-711.5135,725.02,501.43,361.49,1.003147,0.047508,0.000000,1.9696,1.0996,43.4
17,-1556666.00,-24654654.00,0.0000,-724.5463,899.47,454.32,361.49,1.003498,0.041826,0.000000,1.9677,1.1017,45.8
18,-1581663.50,-25154722.00,0.0000,-674.0276,573.75,319.05,319.05,0.995487,0.049336,0.000000,1.9658,1.1036,48.6
19,-1566759.12,-24987556.00,0.0000,-683.7122,858.43,335.70,319.05,0.993280,0.052751,0.000000,1.9639,1.1051,51.3
20,-1559174.50,-25016002.00,0.0000,-732.6905,984.07,482.42,319.05,0.992426,0.035999,0.000000,1.9620,1.1070,54.1
21,-1601972.38,-25407488.00,0.0000,-668.2986,573.88,464.43,319.05,0.990200,0.039196,0.000000,1.9601,1.1090,56.9
22,-1535185.75,-24165074.00,0.0000,-711.8016,835.11,457.76,319.05,1.002058,0.044566,0.000000,1.9582,1.1103,59.7
23,-1531031.00,-24510992.00,0.0000,-731.5650,726.25,455.99,319.05,0.987466,0.054237,0.000000,1.9563,1.1117,62.4
24,-1539923.75,-24664056.00,0.0000,-809.7726,532.75,532.75,319.05,0.999153,0.041290,0.000000,1.9544,1.1135,65.3
25,-1544836.12,-24462240.00,0.0000,-794.5056,768.70,377.21,319.05,0.991129,0.058506,0.000000,1.9525,1.1148,68.0
26,-1555077.75,-24700340.00,0.0000,-759.2719,923.91,360.15,319.05,0.995016,0.054679,0.000000,1.9506,1.1158,70.6
27,-1523990.25,-24481600.00,0.0000,-749.8320,642.60,422.74,319.05,1.005463,0.053232,0.000000,1.9487,1.1175,73.3
28,-1505696.38,-23635676.00,0.0000,-750.6467,465.74,465.74,319.05,0.995785,0.043962,0.000000,1.9468,1.1199,76.0
29,-1540115.00,-24905872.00,0.0000,-747.5008,556.59,421.22,319.05,1.004277,0.042858,0.000000,1.9449,1.1227,78.8
30,-1552575.38,-24692142.00,0.0000,-701.1876,636.45,449.25,319.05,0.987751,0.048525,0.000000,1.9430,1.1243,81.5
31,-1518657.25,-24394564.00,0.0000,-768.5447,763.21,515.47,319.05,1.013541,0.052384,0.000000,1.9411,1.1258,84.3
32,-1531740.62,-24385672.00,0.0000,-822.5570,589.41,582.86,319.05,0.991902,0.050066,0.000000,1.9392,1.1259,87.0
33,-1537674.75,-24145384.00,0.0000,-790.9081,976.71,483.52,319.05,0.989500,0.053544,0.000000,1.9373,1.1248,89.8
34,-1493496.25,-23592854.00,0.0000,-761.1060,759.98,504.45,319.05,1.004854,0.051280,0.000000,1.9354,1.1252,92.5
35,-1462227.50,-23342696.00,0.0000,-838.5222,693.25,526.64,319.05,1.011051,0.041489,0.000000,1.9335,1.1259,95.3
36,-1515109.75,-24318776.00,0.0000,-728.7131,551.59,381.20,319.05,0.988978,0.040475,0.000000,1.9316,1.1272,97.8
37,-1480270.25,-23875780.00,0.0000,-770.8766,753.44,453.37,319.05,1.010925,0.049863,0.000000,1.9297,1.1293,100.5
38,-1468581.25,-23310798.00,0.0000,-770.5557,700.61,451.82,319.05,0.996951,0.042802,0.000000,1.9278,1.1311,103.3
39,-1495402.12,-23833260.00,0.0000,-779.0273,597.34,390.02,319.05,0.993309,0.040032,0.000000,1.9259,1.1327,106.1
40,-1506030.12,-24205180.00,0.0000,-840.1777,656.18,454.36,319.05,1.003723,0.054957,0.000000,1.9240,1.1349,108.8
41,-1444972.62,-23222900.00,0.0000,-814.0962,433.48,433.48,319.05,1.009897,0.049222,0.000000,1.9221,1.1370,111.6
42,-1466045.50,-23711068.00,0.0000,-780.6246,474.41,462.65,319.05,1.001060,0.040042,0.000000,1.9202,1.1382,114.4
43,-1515949.00,-23961760.00,0.0000,-802.9672,523.32,458.68,319.05,0.995400,0.048438,0.000000,1.9183,1.1379,117.1
44,-1476693.50,-23414508.00,0.0000,-867.0545,665.54,501.24,319.05,0.990265,0.044611,0.000000,1.9164,1.1369,119.9
45,-1458849.75,-23518880.00,0.0000,-842.2546,740.88,443.38,319.05,0.989135,0.044516,0.000000,1.9145,1.1356,122.2
46,-1485520.62,-23869244.00,0.0000,-750.8385,722.36,442.72,319.05,1.000625,0.030778,0.000000,1.9126,1.1339,125.0
47,-1441168.00,-23246840.00,0.0000,-916.8394,635.50,287.10,287.10,1.005246,0.033246,0.000000,1.9107,1.1335,127.8
48,-1472813.00,-23658828.00,0.0000,-883.1428,797.25,364.54,287.10,0.997317,0.046644,0.000000,1.9088,1.1340,130.5
49,-1451397.50,-23490090.00,0.0000,-828.7441,820.09,544.73,287.10,1.001785,0.035064,0.000000,1.9069,1.1340,133.2
50,-1440663.00,-23307000.00,0.0000,-909.6680,756.44,409.91,287.10,1.007472,0.050717,0.000000,1.9050,1.1335,136.0
51,-1449037.75,-23559744.00,0.0000,-882.3766,790.42,268.66,268.66,1.001338,0.043058,0.000000,1.9031,1.1327,138.8
