step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.00,3.7343,-592.5306,559.24,198.01,198.01,0.994637,0.090261,0.031250,1.9981,1.0651,3.0
2,0.00,0.00,3.7729,-627.5454,421.19,205.11,198.01,0.996921,0.053208,0.000000,1.9962,1.0638,5.8
3,0.00,0.00,3.9064,-681.8635,343.35,198.20,198.01,1.023789,0.067437,0.000000,1.9943,1.0621,8.6
4,0.00,0.00,4.0070,-658.4468,240.58,183.79,183.79,1.014270,0.041878,0.000000,1.9924,1.0606,11.5
5,0.00,0.00,3.8021,-696.3218,452.95,200.87,183.79,0.989219,0.053439,0.000000,1.9905,1.0581,14.2
6,0.00,0.00,3.7638,-637.4033,320.98,223.13,183.79,0.982018,0.050108,0.000000,1.9886,1.0541,17.1
7,0.00,0.00,3.8800,-673.2857,153.33,153.33,153.33,0.997469,0.050916,0.000000,1.9867,1.0510,19.7
8,0.00,0.00,3.8033,-719.9478,483.01,208.33,153.33,0.993454,0.048182,0.000000,1.9848,1.0491,22.3
9,0.00,0.00,3.8610,-674.6191,274.38,141.93,141.93,0.993065,0.055086,0.000000,1.9829,1.0477,25.2
10,0.00,0.00,3.9300,-626.3515,518.32,141.89,141.89,1.009510,0.037593,0.000000,1.9810,1.0460,28.1
11,0.00,0.00,3.8714,-636.8671,284.25,195.83,141.89,1.006223,0.031367,0.000000,1.9791,1.0434,31.0
12,0.00,0.00,3.8045,-627.9987,307.13,199.28,141.89,1.005446,0.049967,0.000000,1.9772,1.0386,33.7
13,0.00,0.00,3.7847,-674.3146,516.64,175.47,141.89,0.992070,0.035184,0.000000,1.9753,1.0334,36.5
14,0.00,0.00,3.9818,-626.6170,306.39,171.35,141.89,0.990620,0.049623,0.000000,1.9734,1.0286,39.3
15,0.00,0.00,3.9295,-660.2752,356.66,177.68,141.89,0.995285,0.056939,0.031250,1.9715,1.0236,42.0
16,0.00,0.00,4.0704,-633.9720,333.81,126.31,126.31,1.008821,0.056842,0.000000,1.9696,1.0192,44.8
17,0.00,0.00,4.0334,-607.9028,182.27,132.48,126.31,0.999308,0.053189,0.000000,1.9677,1.0136,47.4
18,0.00,0.00,4.0537,-575.8207,393.69,132.14,126.31,1.005220,0.048820,0.000000,1.9658,1.0077,50.2
19,0.00,0.00,4.0730,-572.2982,525.62,177.45,126.31,0.992093,0.052376,0.000000,1.9639,1.0024,53.0
20,0.00,0.00,4.1955,-620.9222,269.56,188.44,126.31,1.004226,0.055239,0.000000,1.9620,0.9991,55.8
21,0.00,0.00,4.2086,-567.4174,236.50,96.62,96.62,1.005390,0.049425,0.000000,1.9601,0.9967,58.7
22,0.00,0.00,3.8868,-570.9440,354.75,139.88,96.62,0.980482,0.050344,0.000000,1.9582,0.9938,61.4
23,0.00,0.00,4.1612,-585.2784,187.68,166.64,96.62,1.010454,0.079225,0.000000,1.9563,0.9898,64.3
24,0.00,0.00,4.1596,-649.8143,162.94,143.71,96.62,1.002887,0.053401,0.000000,1.9544,0.9855,67.1
25,0.00,0.00,4.0565,-636.8670,309.40,174.22,96.62,1.002027,0.063998,0.031250,1.9525,0.9809,69.9
26,0.00,0.00,3.9454,-625.5635,301.24,133.10,96.62,1.001675,0.049402,0.000000,1.9506,0.9762,72.3
27,0.00,0.00,4.1250,-569.2604,316.71,166.77,96.62,0.993773,0.051213,0.000000,1.9487,0.9717,75.2
28,0.00,0.00,4.0659,-610.2844,313.00,144.61,96.62,0.997968,0.042921,0.000000,1.9468,0.9675,78.0
29,0.00,0.00,4.2595,-564.5996,237.31,148.95,96.62,1.013541,0.051755,0.000000,1.9449,0.9632,80.8
30,0.00,0.00,4.1787,-588.4928,278.53,163.28,96.62,1.003514,0.042471,0.000000,1.9430,0.9580,83.5
31,0.00,0.00,4.1299,-556.4930,286.70,169.65,96.62,0.994835,0.056388,0.031250,1.9411,0.9531,86.4
32,0.00,0.00,4.1940,-623.7599,268.41,175.61,96.62,1.005563,0.055572,0.000000,1.9392,0.9489,89.2
33,0.00,0.00,4.0856,-593.8731,407.26,144.75,96.62,0.998383,0.050320,0.000000,1.9373,0.9449,92.0
34,0.00,0.00,4.2595,-559.7358,221.91,147.14,96.62,0.990652,0.046256,0.000000,1.9354,0.9407,94.8
35,0.00,0.00,4.0832,-566.2517,295.44,168.43,96.62,0.988915,0.050251,0.000000,1.9335,0.9362,97.4
36,0.00,0.00,4.1707,-552.8297,291.67,188.49,96.62,1.002974,0.054068,0.000000,1.9316,0.9318,100.3
37,0.00,0.00,4.2611,-580.1169,239.10,159.29,96.62,1.005303,0.044950,0.000000,1.9297,0.9275,103.0
38,0.00,0.00,4.1109,-555.8254,292.84,157.00,96.62,1.001791,0.043734,0.000000,1.9278,0.9234,105.9
39,0.00,0.00,4.1088,-585.2078,326.93,151.52,96.62,1.008255,0.031707,0.000000,1.9259,0.9195,108.7
