step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-34065.06,0.0000,-592.5306,459.85,459.85,459.85,1.003427,0.092226,0.000000,1.9981,1.0664,2.5
2,0.00,-31200.64,0.0000,-629.0188,378.97,378.97,378.97,1.008896,0.065837,0.000000,1.9962,1.0642,4.6
3,0.00,-35010.77,0.0000,-683.0841,507.66,507.66,378.97,0.971601,0.061169,0.000000,1.9943,1.0644,6.8
4,0.00,-32962.81,0.0000,-659.3532,506.36,482.51,378.97,0.997261,0.048418,0.000000,1.9924,1.0644,9.0
5,0.00,-34140.84,0.0000,-703.1328,400.70,400.70,378.97,1.003136,0.059178,0.000000,1.9905,1.0634,11.2
6,0.00,-32432.93,0.0000,-645.6889,465.55,465.55,378.97,1.002833,0.058286,0.000000,1.9886,1.0622,13.3
7,0.00,-30700.62,0.0000,-673.7053,391.60,391.60,378.97,1.004952,0.064152,0.000000,1.9867,1.0623,15.5
8,0.00,-31602.36,0.0000,-715.6262,466.97,396.59,378.97,1.008894,0.065076,0.000000,1.9848,1.0630,17.2
9,0.00,-32131.96,0.0000,-676.8729,597.06,429.38,378.97,1.008379,0.056780,0.000000,1.9829,1.0643,19.9
10,0.00,-31438.02,0.0000,-633.3850,448.88,448.88,378.97,0.999266,0.044774,0.000000,1.9810,1.0645,22.1
11,0.00,-32192.36,0.0000,-640.4679,462.25,462.25,378.97,0.996014,0.048094,0.000000,1.9791,1.0627,24.1
12,0.00,-30918.65,0.0000,-629.8275,343.75,343.75,343.75,1.009217,0.054176,0.000000,1.9772,1.0602,26.4
13,0.00,-29812.56,0.0000,-669.7551,316.18,316.18,316.18,1.009999,0.055572,0.000000,1.9753,1.0577,28.7
14,0.00,-30828.04,0.0000,-647.5752,426.37,426.37,316.18,0.998870,0.057075,0.000000,1.9734,1.0558,31.0
15,0.00,-31788.32,0.0000,-681.3208,464.07,420.63,316.18,0.986188,0.059384,0.000000,1.9715,1.0529,33.1
16,0.00,-30056.59,0.0000,-626.0248,406.49,406.49,316.18,0.998141,0.049570,0.000000,1.9696,1.0495,35.1
17,0.00,-30224.65,0.0000,-611.5291,420.72,415.93,316.18,0.999658,0.051003,0.000000,1.9677,1.0470,37.3
18,0.00,-29830.02,0.0000,-594.3966,414.29,414.29,316.18,0.990796,0.058883,0.000000,1.9658,1.0445,39.4
19,0.00,-30064.81,0.0000,-597.3235,486.18,460.78,316.18,0.988954,0.045239,0.000000,1.9639,1.0415,41.1
20,0.00,-29787.76,0.0000,-624.5529,515.48,496.57,316.18,1.004483,0.042871,0.000000,1.9620,1.0402,43.3
21,0.00,-28172.23,0.0000,-570.5994,529.31,465.69,316.18,0.999141,0.038020,0.000000,1.9601,1.0400,45.4
22,0.00,-27722.72,0.0000,-592.0320,479.78,462.91,316.18,1.011934,0.053929,0.000000,1.9582,1.0397,47.6
23,0.00,-29657.97,0.0000,-597.3617,397.96,397.96,316.18,0.984769,0.052415,0.000000,1.9563,1.0389,49.8
24,0.00,-29620.67,0.0000,-665.2074,518.68,463.47,316.18,0.995918,0.049056,0.000000,1.9544,1.0371,52.0
25,0.00,-27977.30,0.0000,-645.5234,410.44,410.44,316.18,1.001141,0.059646,0.000000,1.9525,1.0341,54.1
26,0.00,-27104.61,0.0000,-649.0874,377.13,377.13,316.18,0.995257,0.054750,0.000000,1.9506,1.0309,56.3
27,0.00,-27842.14,0.0000,-574.1450,395.29,393.17,316.18,1.001628,0.045866,0.000000,1.9487,1.0266,58.5
28,0.00,-24335.15,0.0000,-596.3317,449.96,396.57,316.18,1.023528,0.041121,0.000000,1.9468,1.0233,60.5
29,0.00,-28426.87,0.0000,-551.9715,480.34,420.70,316.18,0.997712,0.049157,0.000000,1.9449,1.0209,62.3
30,0.00,-26910.73,0.0000,-569.9194,256.62,256.62,256.62,0.995312,0.059143,0.000000,1.9430,1.0183,64.6
31,0.00,-27891.40,0.0000,-568.5061,361.25,361.25,256.62,0.989074,0.062413,0.031250,1.9411,1.0157,66.8
32,0.00,-26855.91,0.0000,-628.8492,397.64,397.64,256.62,0.995721,0.051779,0.000000,1.9392,1.0140,68.9
33,0.00,-24784.96,0.0000,-596.8853,425.80,393.12,256.62,1.000475,0.042259,0.000000,1.9373,1.0136,71.1
34,0.00,-24676.62,0.0000,-570.1490,420.79,403.55,256.62,1.004231,0.050060,0.000000,1.9354,1.0115,73.3
35,0.00,-26229.79,0.0000,-592.6562,325.15,325.15,256.62,1.002711,0.047445,0.000000,1.9335,1.0084,75.5
36,0.00,-25350.92,0.0000,-557.1899,434.64,403.16,256.62,1.005841,0.049732,0.000000,1.9316,1.0065,77.7
37,0.00,-23252.02,0.0000,-533.4474,332.83,332.83,256.62,1.015644,0.046358,0.000000,1.9297,1.0056,79.9
38,0.00,-24398.34,0.0000,-555.6257,352.94,352.94,256.62,0.999359,0.056000,0.000000,1.9278,1.0044,82.0
39,0.00,-24102.92,0.0000,-548.8565,348.75,301.55,256.62,1.011090,0.064352,0.000000,1.9259,1.0022,83.7
40,0.00,-24880.91,0.0000,-564.1574,370.53,370.53,256.62,1.000020,0.061389,0.000000,1.9240,0.9993,85.9
41,0.00,-23626.28,0.0000,-512.7544,242.16,242.16,242.16,1.000815,0.065184,0.000000,1.9221,0.9965,88.1
42,0.00,-23574.50,0.0000,-509.3612,443.20,376.35,242.16,1.002436,0.059717,0.000000,1.9202,0.9935,90.3
43,0.00,-22422.96,0.0000,-526.2064,353.38,336.04,242.16,1.008952,0.047306,0.000000,1.9183,0.9909,92.6
44,0.00,-23446.48,0.0000,-575.6390,395.63,384.55,242.16,1.003076,0.049505,0.000000,1.9164,0.9885,94.7
