step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,-1717301.38,-28076314.00,0.0000,-592.5306,802.53,419.89,419.89,1.009131,0.090038,0.000000,1.9981,1.0702,2.8
2,-1677917.25,-27902358.00,0.0000,-630.0494,949.53,322.58,322.58,0.989626,0.065467,0.000000,1.9962,1.0723,5.6
3,-1741958.75,-28634042.00,0.0000,-694.2943,578.14,330.40,322.58,0.987383,0.051993,0.000000,1.9943,1.0730,8.4
4,-1662398.38,-27696980.00,0.0000,-673.3764,365.98,292.25,292.25,1.010498,0.038811,0.000000,1.9924,1.0740,11.2
5,-1698881.25,-27644720.00,0.0000,-719.0582,681.79,379.74,292.25,1.003300,0.061331,0.000000,1.9905,1.0764,13.9
6,-1690939.88,-27723492.00,0.0000,-671.8927,614.81,373.94,292.25,1.018281,0.060835,0.000000,1.9886,1.0793,16.6
7,-1650090.50,-27422856.00,0.0000,-689.2252,507.79,336.83,292.25,1.007187,0.047998,0.000000,1.9867,1.0832,19.4
8,-1627167.38,-26896016.00,0.0000,-756.5305,649.17,345.24,292.25,1.023028,0.054094,0.000000,1.9848,1.0869,21.8
9,-1701370.75,-28157732.00,0.0000,-712.6436,847.87,312.11,292.25,1.007075,0.058686,0.000000,1.9829,1.0909,24.7
10,-1665010.88,-27543602.00,0.0000,-659.3187,644.96,383.37,292.25,0.994149,0.037386,0.000000,1.9810,1.0929,27.4
11,-1690279.00,-27894476.00,0.0000,-674.7406,747.83,383.43,292.25,1.002878,0.037991,0.000000,1.9791,1.0926,30.2
12,-1641951.62,-27220568.00,0.0000,-670.6450,848.39,328.90,292.25,1.009706,0.053647,0.000000,1.9772,1.0911,33.0
13,-1686589.62,-27989896.00,0.0000,-712.0297,329.96,310.11,292.25,1.003637,0.047866,0.000000,1.9753,1.0897,35.8
14,-1648931.75,-27443228.00,0.0000,-698.5681,869.63,395.19,292.25,1.004160,0.057306,0.000000,1.9734,1.0886,38.5
15,-1678757.12,-27796138.00,0.0000,-729.2715,771.22,435.96,292.25,1.001378,0.042834,0.000000,1.9715,1.0883,41.3
