step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.54,0.0000,-592.5306,254.86,254.86,254.86,0.995450,0.093637,0.031250,1.9981,1.0653,3.1
2,0.00,0.54,0.0000,-626.6685,317.62,317.62,254.86,0.994086,0.054475,0.000000,1.9962,1.0654,5.8
3,0.00,0.62,0.0000,-681.5630,278.73,278.73,254.86,1.023122,0.065739,0.000000,1.9943,1.0633,8.3
4,0.00,0.62,0.0000,-657.5300,234.01,234.01,234.01,1.014606,0.041207,0.000000,1.9924,1.0617,11.2
5,0.00,0.57,0.0000,-695.8256,262.76,232.76,232.76,0.986074,0.055053,0.000000,1.9905,1.0594,13.9
6,0.00,0.56,0.0000,-637.2279,360.37,360.37,232.76,0.982704,0.053705,0.000000,1.9886,1.0560,16.8
7,0.00,0.59,0.0000,-673.1925,347.83,347.83,232.76,0.999408,0.050925,0.000000,1.9867,1.0539,19.4
8,0.00,0.57,0.0000,-723.3088,417.44,379.63,232.76,0.994271,0.046826,0.000000,1.9848,1.0514,22.2
9,0.00,0.60,0.0000,-676.0390,322.68,322.68,232.76,0.998566,0.057368,0.000000,1.9829,1.0489,25.0
10,0.00,0.61,0.0000,-625.9839,297.77,297.77,232.76,1.010989,0.046082,0.000000,1.9810,1.0475,27.8
11,0.00,0.61,0.0000,-638.7134,378.99,378.99,232.76,1.004265,0.036355,0.000000,1.9791,1.0470,30.6
12,0.00,0.59,0.0000,-632.0927,201.55,201.55,201.55,1.001886,0.045753,0.000000,1.9772,1.0449,33.1
13,0.00,0.57,0.0000,-679.4634,354.73,338.84,201.55,0.993936,0.038074,0.000000,1.9753,1.0423,35.9
14,0.00,0.62,0.0000,-631.7564,367.60,367.60,201.55,0.993409,0.044210,0.000000,1.9734,1.0403,38.7
15,0.00,0.64,0.0000,-667.9975,316.09,280.68,201.55,0.999587,0.055079,0.031250,1.9715,1.0382,41.6
16,0.00,0.64,0.0000,-642.8260,215.61,215.61,201.55,1.009149,0.049841,0.000000,1.9696,1.0359,44.4
17,0.00,0.65,0.0000,-622.6771,256.75,247.10,201.55,0.998989,0.061617,0.000000,1.9677,1.0324,47.2
18,0.00,0.66,0.0000,-587.8312,379.33,256.83,201.55,1.008360,0.049763,0.000000,1.9658,1.0293,50.0
19,0.00,0.65,0.0000,-589.5558,202.37,202.37,201.55,0.993451,0.055263,0.000000,1.9639,1.0267,52.8
20,0.00,0.67,0.0000,-635.3353,393.61,247.48,201.55,1.004870,0.058005,0.000000,1.9620,1.0248,55.6
21,0.00,0.70,0.0000,-584.5062,230.02,230.02,201.55,1.004906,0.051482,0.000000,1.9601,1.0237,58.4
22,0.00,0.60,0.0000,-582.0890,253.71,253.71,201.55,0.982395,0.049977,0.000000,1.9582,1.0224,61.1
23,0.00,0.68,0.0000,-607.1288,176.05,176.05,176.05,1.017678,0.079995,0.000000,1.9563,1.0207,63.9
24,0.00,0.69,0.0000,-666.9896,226.21,226.21,176.05,1.000681,0.047281,0.000000,1.9544,1.0196,66.7
25,0.00,0.68,0.0000,-657.9254,196.27,166.43,166.43,1.002631,0.066743,0.000000,1.9525,1.0180,69.6
26,0.00,0.64,0.0000,-643.2814,236.81,229.97,166.43,1.012159,0.085652,0.000000,1.9506,1.0163,72.4
27,0.00,0.69,0.0000,-596.3598,291.94,291.94,166.43,0.994416,0.063816,0.000000,1.9487,1.0147,75.1
28,0.00,0.68,0.0000,-642.7859,236.84,236.84,166.43,1.003542,0.056594,0.000000,1.9468,1.0134,77.9
