step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,-1908110.62,-29691328.00,0.0000,-592.5306,851.35,421.40,421.40,1.002274,0.094053,0.031250,1.9981,1.0716,2.9
2,-1834450.50,-29272358.00,0.0000,-631.3801,382.67,291.66,291.66,0.996820,0.060996,0.000000,1.9962,1.0734,5.8
3,-1948944.00,-30295068.00,0.0000,-694.2841,820.95,381.60,291.66,0.986147,0.047277,0.000000,1.9943,1.0745,8.5
4,-1858506.25,-29332816.00,0.0000,-673.3811,740.12,400.36,291.66,1.002443,0.031676,0.000000,1.9924,1.0756,11.3
5,-1899941.50,-29484578.00,0.0000,-718.9720,294.32,294.32,291.66,0.998113,0.057248,0.000000,1.9905,1.0774,14.1
6,-1889998.38,-29798378.00,0.0000,-669.8430,930.17,376.61,291.66,1.016381,0.065567,0.000000,1.9886,1.0795,16.8
7,-1849640.50,-29549406.00,0.0000,-687.7891,548.83,378.38,291.66,1.005025,0.058024,0.000000,1.9867,1.0829,19.3
8,-1833284.50,-28994880.00,0.0000,-750.3710,911.14,338.69,291.66,1.021149,0.059483,0.000000,1.9848,1.0867,22.1
9,-1887712.00,-29709084.00,0.0000,-707.6534,728.22,296.80,291.66,1.008791,0.067209,0.031250,1.9829,1.0912,24.9
10,-1849487.50,-29286172.00,0.0000,-658.5072,853.44,356.44,291.66,0.992481,0.039494,0.000000,1.9810,1.0940,27.7
11,-1874479.12,-29496196.00,0.0000,-668.3555,456.64,398.47,291.66,0.997976,0.037848,0.000000,1.9791,1.0945,30.5
12,-1837713.50,-29140438.00,0.0000,-666.6683,830.62,368.47,291.66,1.008584,0.052044,0.000000,1.9772,1.0945,33.2
13,-1853784.50,-29661296.00,0.0000,-707.1474,995.42,263.41,263.41,1.008697,0.048570,0.000000,1.9753,1.0949,36.0
14,-1838148.88,-29241100.00,0.0000,-698.2902,834.90,410.86,263.41,1.005387,0.055155,0.000000,1.9734,1.0952,38.7
15,-1879721.50,-29621192.00,0.0000,-730.2371,939.03,368.09,263.41,0.999264,0.047358,0.000000,1.9715,1.0949,41.6
16,-1829601.75,-29248746.00,0.0000,-676.4815,987.47,364.78,263.41,0.999595,0.043235,0.000000,1.9696,1.0941,44.2
17,-1834051.00,-29063744.00,0.0000,-689.1448,419.43,398.35,263.41,0.999228,0.051496,0.000000,1.9677,1.0949,46.9
18,-1847968.75,-29505616.00,0.0000,-647.9656,1006.64,386.68,263.41,0.990757,0.050545,0.000000,1.9658,1.0957,49.6
19,-1823739.88,-28957752.00,0.0000,-664.8353,1025.80,407.64,263.41,0.991897,0.052666,0.000000,1.9639,1.0959,52.4
20,-1837830.00,-29190076.00,0.0000,-693.9380,705.40,467.86,263.41,0.996578,0.040710,0.000000,1.9620,1.0969,55.2
21,-1832306.12,-29556760.00,0.0000,-634.2108,670.42,383.56,263.41,0.993940,0.042479,0.000000,1.9601,1.0985,57.9
