step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-40.31,0.0000,-592.5306,254.86,254.86,254.86,0.989896,0.090144,0.031250,1.9981,1.0667,2.5
2,0.00,-39.99,0.0000,-627.4562,318.00,318.00,254.86,0.996198,0.053370,0.000000,1.9962,1.0666,4.9
3,0.00,-33.79,0.0000,-682.1465,278.89,278.89,254.86,1.024744,0.066330,0.000000,1.9943,1.0641,7.3
4,0.00,-33.80,0.0000,-657.8511,234.46,234.46,234.46,1.015902,0.042694,0.000000,1.9924,1.0621,9.7
5,0.00,-37.09,0.0000,-695.3654,263.89,233.23,233.23,0.983376,0.059852,0.000000,1.9905,1.0594,12.1
6,0.00,-37.91,0.0000,-637.2356,359.88,359.88,233.23,0.982352,0.056596,0.000000,1.9886,1.0555,14.5
7,0.00,-36.31,0.0000,-672.9338,345.87,345.87,233.23,0.999316,0.051758,0.000000,1.9867,1.0531,16.4
8,0.00,-36.66,0.0000,-722.5339,418.27,379.41,233.23,0.994098,0.050543,0.000000,1.9848,1.0504,18.7
9,0.00,-35.26,0.0000,-676.1477,322.25,322.25,233.23,1.000899,0.060993,0.000000,1.9829,1.0478,21.2
10,0.00,-34.51,0.0000,-625.5812,297.66,297.66,233.23,1.011655,0.045154,0.000000,1.9810,1.0460,23.5
11,0.00,-33.98,0.0000,-637.4996,377.97,377.97,233.23,1.003261,0.035696,0.000000,1.9791,1.0454,25.9
12,0.00,-35.67,0.0000,-631.2539,201.06,201.06,201.06,1.002882,0.046724,0.000000,1.9772,1.0433,28.3
13,0.00,-37.25,0.0000,-679.1960,352.80,338.56,201.06,0.994669,0.037574,0.000000,1.9753,1.0411,30.6
14,0.00,-33.60,0.0000,-631.5720,366.09,366.09,201.06,0.993457,0.046411,0.000000,1.9734,1.0389,33.1
15,0.00,-32.25,0.0000,-667.7130,316.72,280.13,201.06,0.998789,0.056261,0.031250,1.9715,1.0362,35.4
16,0.00,-31.85,0.0000,-641.7606,216.49,216.49,201.06,1.010350,0.047828,0.000000,1.9696,1.0335,37.5
17,0.00,-32.03,0.0000,-621.7255,256.30,246.96,201.06,1.000605,0.061795,0.000000,1.9677,1.0298,39.8
18,0.00,-30.74,0.0000,-585.8964,379.08,255.99,201.06,1.008231,0.051157,0.000000,1.9658,1.0265,42.2
19,0.00,-31.22,0.0000,-588.6224,305.08,202.52,201.06,0.994399,0.054670,0.000000,1.9639,1.0235,44.6
20,0.00,-30.53,0.0000,-633.4047,296.17,245.71,201.06,1.004597,0.056370,0.000000,1.9620,1.0213,47.0
21,0.00,-28.69,0.0000,-583.1176,229.14,229.14,201.06,1.004798,0.051224,0.000000,1.9601,1.0198,49.3
22,0.00,-34.69,0.0000,-579.3681,252.60,252.60,201.06,0.981201,0.049709,0.000000,1.9582,1.0182,51.7
23,0.00,-29.40,0.0000,-604.2167,175.26,175.26,175.26,1.017313,0.078943,0.000000,1.9563,1.0163,54.0
24,0.00,-28.71,0.0000,-664.6903,226.48,226.48,175.26,1.000664,0.046507,0.000000,1.9544,1.0151,56.4
25,0.00,-29.84,0.0000,-656.4016,197.88,167.64,167.64,1.002676,0.066544,0.000000,1.9525,1.0132,58.6
26,0.00,-31.83,0.0000,-640.4345,236.44,230.12,167.64,1.011139,0.081115,0.000000,1.9506,1.0112,60.8
27,0.00,-28.93,0.0000,-593.5631,289.34,289.34,167.64,0.994864,0.065257,0.000000,1.9487,1.0092,63.1
28,0.00,-29.74,0.0000,-637.7406,238.82,238.82,167.64,1.003998,0.054747,0.000000,1.9468,1.0076,65.5
29,0.00,-24.90,0.0000,-592.7968,207.05,195.50,167.64,1.021150,0.062324,0.000000,1.9449,1.0062,67.8
30,0.00,-26.73,0.0000,-618.5503,228.78,199.31,167.64,1.008103,0.049996,0.000000,1.9430,1.0047,70.2
31,0.00,-28.34,0.0000,-584.1296,280.17,271.11,167.64,0.994569,0.050049,0.000000,1.9411,1.0029,72.6
32,0.00,-26.44,0.0000,-658.6451,329.62,222.78,167.64,1.010603,0.059165,0.000000,1.9392,1.0027,74.9
33,0.00,-29.72,0.0000,-629.0511,137.30,137.30,137.30,1.000127,0.052005,0.000000,1.9373,1.0029,77.4
34,0.00,-27.26,0.0000,-594.3079,236.45,236.45,137.30,0.990278,0.048013,0.000000,1.9354,1.0014,79.7
35,0.00,-28.64,0.0000,-612.7521,179.34,179.34,137.30,0.988742,0.055263,0.000000,1.9335,0.9987,81.7
36,0.00,-25.08,0.0000,-600.4918,168.59,168.59,137.30,1.006793,0.070435,0.000000,1.9316,0.9962,84.1
37,0.00,-24.03,0.0000,-644.6735,169.68,169.68,137.30,1.013329,0.044423,0.000000,1.9297,0.9931,86.4
38,0.00,-27.19,0.0000,-611.8771,191.51,191.51,137.30,1.005204,0.054683,0.000000,1.9278,0.9904,88.7
39,0.00,-26.32,0.0000,-646.9542,217.80,186.64,137.30,1.005683,0.046834,0.000000,1.9259,0.9881,91.1
40,0.00,-24.13,0.0000,-659.8419,171.71,171.71,137.30,1.000286,0.045640,0.000000,1.9240,0.9852,93.4
41,0.00,-25.21,0.0000,-611.1452,187.00,187.00,137.30,0.998808,0.055874,0.000000,1.9221,0.9823,95.7
42,0.00,-22.93,0.0000,-598.7417,131.20,131.20,131.20,1.017229,0.048783,0.000000,1.9202,0.9792,98.2
43,0.00,-27.23,0.0000,-616.4097,236.15,221.96,131.20,0.978309,0.068906,0.031250,1.9183,0.9755,100.6
44,0.00,-25.95,0.0000,-633.4913,144.27,144.27,131.20,0.979841,0.060252,0.000000,1.9164,0.9721,102.5
